Tanggal,Lokasi,Jenis_Sampah,Volume_Sampah_kg
10/05/2022,Lokasi_13,Organik,654.61
18/07/2023,Lokasi_20,Anorganik,706.55
04/02/2023,Lokasi_18,Organik,900.28
31/12/2022,Lokasi_16,Anorganik,1240.14
26/06/2024,Lokasi_2,Organik,754.52
09/12/2025,Lokasi_5,Organik,1198.61
11/04/2021,Lokasi_18,Organik,991.51
23/05/2023,Lokasi_3,Organik,1385.44
26/11/2020,Lokasi_17,Organik,732.91
22/01/2024,Lokasi_16,Organik,950.86
05/11/2025,Lokasi_6,Organik,596.66
10/05/2020,Lokasi_19,Organik,835.15
12/08/2024,Lokasi_7,Anorganik,1006.88
08/02/2022,Lokasi_18,Organik,1232.74
24/02/2024,Lokasi_14,Anorganik,698.08
30/04/2023,Lokasi_6,Organik,718.09
13/08/2022,Lokasi_8,Organik,1131.58
30/03/2023,Lokasi_15,Organik,882.46
04/04/2021,Lokasi_15,Anorganik,982.09
22/01/2020,Lokasi_15,Anorganik,1336.13
17/01/2022,Lokasi_16,Anorganik,999.08
19/04/2021,Lokasi_1,Organik,1152.5
18/12/2022,Lokasi_11,Anorganik,1156.78
09/08/2025,Lokasi_5,Anorganik,1303.61
02/09/2022,Lokasi_5,Anorganik,1138.14
11/12/2024,Lokasi_6,Anorganik,564.81
08/07/2020,Lokasi_2,Organik,842.17
16/07/2021,Lokasi_6,Organik,1489.32
14/03/2025,Lokasi_14,B3,696.51
21/06/2023,Lokasi_11,Organik,1086.73
08/03/2024,Lokasi_4,Organik,1342.94
08/10/2021,Lokasi_9,Organik,1086.56
30/08/2025,Lokasi_3,Organik,872.27
21/07/2023,Lokasi_16,Organik,580.23
23/08/2021,Lokasi_11,Anorganik,861.66
23/08/2025,Lokasi_4,Organik,682.07
29/08/2020,Lokasi_1,Organik,1460.86
03/08/2025,Lokasi_16,Organik,1215.03
25/09/2023,Lokasi_19,Organik,1249.38
09/11/2025,Lokasi_16,B3,935.97
22/10/2023,Lokasi_11,B3,609.96
18/01/2024,Lokasi_8,Organik,766.72
14/02/2022,Lokasi_1,Organik,759.71
04/02/2020,Lokasi_9,Anorganik,986.78
09/05/2025,Lokasi_12,Anorganik,960.98
04/05/2024,Lokasi_8,Anorganik,933.41
18/10/2022,Lokasi_17,Organik,995.98
03/02/2023,Lokasi_10,Anorganik,1487.02
09/02/2024,Lokasi_7,Anorganik,798.35
03/12/2021,Lokasi_19,Anorganik,1115.27
28/04/2024,Lokasi_6,Anorganik,739.51
10/06/2020,Lokasi_19,Organik,966.61
20/07/2020,Lokasi_18,Anorganik,700.05
04/06/2025,Lokasi_15,Organik,1058.19
22/09/2022,Lokasi_2,Anorganik,765.01
26/03/2022,Lokasi_14,Anorganik,536.79
31/03/2021,Lokasi_10,Organik,1315.27
29/06/2023,Lokasi_16,B3,628.26
13/10/2022,Lokasi_7,Organik,868.04
03/12/2020,Lokasi_8,Anorganik,977.18
28/05/2022,Lokasi_10,B3,932.48
12/12/2022,Lokasi_15,Organik,1225.67
02/03/2022,Lokasi_8,Organik,1096.78
02/02/2022,Lokasi_13,Organik,795.37
14/01/2021,Lokasi_12,Anorganik,551.7
07/05/2021,Lokasi_8,Organik,1267.6
26/03/2023,Lokasi_15,Organik,852.53
24/08/2025,Lokasi_12,Organik,1389.72
05/03/2020,Lokasi_11,Anorganik,895.06
29/09/2023,Lokasi_19,Organik,1217.66
26/02/2023,Lokasi_14,Anorganik,1439.56
20/07/2025,Lokasi_18,Organik,1151.15
04/02/2024,Lokasi_13,Anorganik,913.49
08/03/2023,Lokasi_4,Organik,1067.4
02/03/2024,Lokasi_17,Anorganik,1043.45
26/01/2021,Lokasi_19,Organik,1084.82
25/08/2024,Lokasi_9,Anorganik,646.82
22/02/2021,Lokasi_7,Organik,1198.51
13/01/2021,Lokasi_1,Anorganik,645.04
